index,prompt_case,dataset,folder,scenario_idx,track_id,start,end,key_agents,path_relationship,turn_label,priority_label,lane_change_type,lane_change_time,lane_change_time_index,lane_change_end_time,lane_change_end_time_index,type_flag_init
25,mp2,waymo_train,waymo_0-299,3863,1053;ego,26,53,1053;ego,MP,S-S,equal,HV_front,29,13,62,46,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
26,mp2,waymo_train,waymo_0-299,40910,2224;ego,40,64,2224;ego,MP,S-S,ego,HV_front,47,17,64,34,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
27,mp2,waymo_train,waymo_0-299,41367,430;ego,25,53,430;ego,MP,S-S,ego,HV_front,36,21,54,39,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
28,mp1,waymo_train,waymo_0-299,42896,492;ego,0,12,492;ego,MP,S-S,equal,AV_back,5,5,27,27,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
29,cp1,waymo_train,waymo_0-299,46973,203;ego,18,31,ego;203,CP,S-L,203,no-need,no-need,no-need,no-need,no-need,None
30,mp2,waymo_train,waymo_0-299,47760,870;ego,41,45,870;ego,MP,S-S,ego,HV_front,33,2,47,16,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
31,mp2,waymo_train,waymo_0-299,70178,620;621;ego,2,9,621;ego,MP,S-S,621,HV_front,0,0,17,17,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
32,mp2,waymo_train,waymo_0-299,51490,2018;ego,35,52,2018;ego,MP,S-S,ego,HV_front,42,17,55,30,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
33,mp2,waymo_train,waymo_0-299,52759,1262;ego,36,62,1262;ego,MP,S-S,ego,HV_front,44,18,67,41,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
34,mp2,waymo_train,waymo_0-299,54214,1081;ego,1,15,1081;ego,MP,S-S,ego,HV_front,3,3,31,31,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
35,mp2,waymo_train,waymo_0-299,53797,1964;ego,26,35,1964;ego,MP,S-S,ego,HV_front,21,5,51,35,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
36,mp2,waymo_train,waymo_0-299,55511,1;ego,46,60,1;ego,MP,S-S,ego,HV_front,48,12,62,26,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
37,mp2,waymo_train,waymo_0-299,5567,2184;ego,25,56,2184;ego,MP,S-S,ego,HV_front,41,26,57,42,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
38,mp2,waymo_train,waymo_0-299,56701,682;ego,17,33,682;ego,MP,S-S,ego,HV_front,16,9,34,27,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
39,mp2,waymo_train,waymo_0-299,56865,2880;ego,0,6,2880;ego,MP,S-S,equal,HV_front,0,0,8,8,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
40,mp2,waymo_train,waymo_0-299,57660,1960;ego,41,59,1960;ego,MP,S-S,"Unknown
",HV_front,48,17,81,50,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
41,mp1,waymo_train,waymo_0-299,58141,2039;ego,33,44,2039;ego,MP,S-S,2039,AV_back,38,15,61,38,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
42,mp2,waymo_train,waymo_0-299,61313,1;ego,23,57,1;ego,MP,S-S,ego,HV_front,40,27,55,42,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
43,mp2,waymo_train,waymo_0-299,63150,2116;ego,0,7,2116;ego,MP,S-S,equal,HV_front,0,0,8,8,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
44,mp2,waymo_train,waymo_0-299,6749,939;ego,34,53,939;ego,MP,S-S,ego,HV_front,30,6,55,31,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
45,mp2,waymo_train,waymo_0-299,6780,1878;ego,8,33,1878;ego,MP,S-S,ego,HV_front,20,20,33,33,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
46,mp2,waymo_train,waymo_0-299,71450,2728;ego,16,33,2728;ego,MP,S-S,ego,HV_front,18,12,33,27,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
47,mp2,waymo_train,waymo_0-299,7541,24;ego,26,60,24;ego,MP,S-S,ego,HV_front,50,34,61,45,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
48,mp2,waymo_train,waymo_0-299,7192,24;ego,39,55,24;ego,MP,S-S,equal,HV_front,38,9,59,30,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
49,mp2,waymo_train,waymo_0-299,73512,2625;ego,33,53,2625;ego,MP,S-S,ego,HV_front,41,18,55,32,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
50,mp2,waymo_train,waymo_0-299,76629,335;ego,48,58,335;ego,MP,S-S,ego,HV_front,38,0,48,10,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
51,mp2,waymo_train,waymo_0-299,77560,2446;ego,0,8,2446;ego,MP,S-S,ego,HV_front,0,0,11,11,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
52,mp2,waymo_train,waymo_0-299,79407,2147;ego,0,15,2147;ego,MP,S-S,ego,HV_front,15,15,32,32,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
53,mp2,waymo_train,waymo_0-299,79408,1998;ego,26,30,1998;ego,MP,S-S,ego,HV_front,16,0,45,29,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
54,mp2,waymo_train,waymo_0-299,79408,1998;2003;ego,14,25,2003;ego,MP,S-S,2003,HV_front,8,4,27,23,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
55,mp2,waymo_train,waymo_0-299,79408,2003;ego,6,13,2003;ego,MP,S-S,ego,HV_front,8,8,27,27,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
56,mp2,waymo_train,waymo_0-299,80812,2215;ego,3,27,2215;ego,MP,S-S,ego,HV_front,4,4,30,30,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
57,mp2,waymo_train,waymo_0-299,81289,2782;ego,30,47,2782;ego,MP,S-S,ego,HV_front,33,13,52,32,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
58,mp2,waymo_train,waymo_0-299,86022,942;ego,37,44,942;ego,MP,S-S,ego,HV_front,33,6,54,27,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
59,mp1,waymo_train,waymo_0-299,87213,715;ego,25,37,715;ego,MP,S-S,715,AV_back,29,14,54,39,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
60,mp2,waymo_train,waymo_0-299,91679,696;ego,17,46,696;ego,MP,S-S,ego,HV_front,28,21,48,41,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
61,mp2,waymo_train,waymo_0-299,91680,1720;ego,1,11,1720;ego,MP,S-S,ego,HV_front,0,0,24,24,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
62,mp2,waymo_train,waymo_0-299,91848,1447;ego,36,63,1447;ego,MP,S-S,ego,HV_front,51,25,67,41,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
63,mp2,waymo_train,waymo_0-299,93482,1223;ego,32,53,1223;ego,MP,S-S,equal,HV_front,42,20,55,33,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
64,mp1,waymo_train,waymo_0-299,95569,2248;ego,37,54,2248;ego,MP,S-S,equal,AV_back,43,16,71,44,"ego在HV左侧车道, HV直行, ego在其左后方, 向右变道到HV所在车道."
65,mp2,waymo_train,waymo_0-299,95719,1438;ego,38,58,1438;ego,MP,S-S,ego,HV_front,45,17,65,37,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
66,mp2,waymo_train,waymo_0-299,97760,1135;ego,3,17,1135;ego,MP,S-S,ego,HV_front,0,0,9,9,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
67,mp2,waymo_train,waymo_0-299,98404,486;ego,0,24,486;ego,MP,S-S,ego,HV_front,0,0,17,17,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
68,mp2,waymo_train,waymo_0-299,100889,1205;ego,0,19,1205;ego,MP,S-S,ego,HV_front,2,2,19,19,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
69,mp2,waymo_train,waymo_0-299,10089,310;ego,28,56,310;ego,MP,S-S,ego,HV_front,43,25,62,44,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
70,cp1,waymo_train,waymo_0-299,102587,924;ego,23,49,ego;924,CP,S-L,924,no-need,no-need,no-need,no-need,no-need,None
71,mp2,waymo_train,waymo_0-299,106307,2722;ego,26,56,2722;ego,MP,S-S,ego,HV_front,47,31,59,43,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
72,mp2,waymo_train,waymo_0-299,106963,5;ego,38,69,5;ego,MP,S-S,ego,HV_front,57,29,71,43,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
73,mp2,waymo_train,waymo_0-299,107401,2725;ego,0,14,2725;ego,MP,S-S,ego,HV_front,0,0,22,22,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
74,mp2,waymo_train,waymo_0-299,110893,1340;ego,16,22,1340;ego,MP,S-S,ego,HV_front,24,18,39,33,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
75,mp2,waymo_train,waymo_0-299,110893,1340;1343;ego,23,27,1340;ego,MP,S-S,1343,HV_front,24,11,39,26,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
76,mp1,waymo_train,waymo_0-299,110756,1535;ego,40,63,1535;ego,MP,S-S,ego,AV_back,61,31,86,56,"ego在HV左侧车道, HV直行, ego在其左后方, 向右变道到HV所在车道."
77,mp1,waymo_train,waymo_0-299,11091,715;ego,5,17,715;ego,MP,S-S,715,AV_back,9,9,34,34,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
78,mp2,waymo_train,waymo_0-299,112613,1927;ego,0,17,1927;ego,MP,S-S,ego,HV_front,0,0,17,17,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
79,cp1,waymo_train,waymo_0-299,112773,203;ego,28,41,ego;203,CP,S-L,203,no-need,no-need,no-need,no-need,no-need,None
80,mp2,waymo_train,waymo_0-299,114382,1781;ego,28,54,1781;ego,MP,S-S,ego,HV_front,39,21,57,39,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
81,mp2,waymo_train,waymo_0-299,117361,1718;ego,22,34,1718;ego,MP,S-S,ego,HV_front,18,6,43,31,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
82,mp1,waymo_train,waymo_0-299,117521,715;ego,17,39,715;ego,MP,S-S,715,AV_back,39,32,60,53,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
83,mp2,waymo_train,waymo_0-299,120005,1501;ego,26,50,1501;ego,MP,S-S,ego,HV_front,32,16,53,37,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
84,mp2,waymo_train,waymo_0-299,120154,1757;ego,38,65,1757;ego,MP,S-S,ego,HV_front,56,28,71,43,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
85,cp1,waymo_train,waymo_0-299,120308,26;ego,34,40,26;ego,CP,L-S,ego,no-need,no-need,no-need,no-need,no-need,None
86,mp1,waymo_train,waymo_0-299,120784,2055;ego,0,8,2055;ego,MP,S-S,2055,AV_back,10,10,31,31,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
87,mp2,waymo_train,waymo_0-299,121344,3075;ego,30,49,3075;ego,MP,S-S,equal,HV_front,47,27,59,39,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
88,mp2,waymo_train,waymo_0-299,122516,3406;ego,0,15,3406;ego,MP,S-S,ego,HV_front,0,0,15,15,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
89,cp1,waymo_train,waymo_0-299,123876,2865;ego,38,42,2865;ego,CP,L-S,ego,no-need,no-need,no-need,no-need,no-need,None
90,mp2,waymo_train,waymo_0-299,124563,228;ego,33,42,228;ego,MP,S-S,ego,HV_front,29,6,46,23,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
91,mp1,waymo_train,waymo_0-299,124950,344;ego,28,43,344;ego,MP,S-S,344,AV_back,40,22,67,49,"ego在HV左侧车道, HV直行, ego在其左后方, 向右变道到HV所在车道."
92,mp2,waymo_train,waymo_0-299,12901,441;ego,12,25,441;ego,MP,S-S,ego,HV_front,10,8,39,37,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
93,mp2,waymo_train,waymo_0-299,130756,224;229;ego,22,32,224;ego,MP,S-S,229,HV_front,39,27,53,41,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
94,mp2,waymo_train,waymo_0-299,130910,798;ego,21,30,798;ego,MP,S-S,ego,HV_front,22,11,46,35,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
95,mp2,waymo_train,waymo_0-299,132462,1463;ego,0,6,1463;ego,MP,S-S,equal,HV_front,0,0,14,14,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
96,mp2,waymo_train,waymo_0-299,132611,3944;ego,0,12,3944;ego,MP,S-S,ego,HV_front,0,0,15,15,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
97,mp2,waymo_train,waymo_0-299,133558,415;ego,36,41,415;ego,MP,R-L,ego,HV_front,48,22,63,37,"ego与HV在同一车道上, ego在HV后方直行, HV在ego前方向左侧车道变道."
98,mp2,waymo_train,waymo_0-299,134006,2657;ego,36,66,2657;ego,MP,S-S,ego,HV_front,56,30,67,41,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
99,mp2,waymo_train,waymo_0-299,134164,919;ego,35,44,919;ego,MP,S-S,ego,HV_front,31,6,48,23,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
100,mp2,waymo_train,waymo_0-299,140184,1454;ego,18,49,1454;ego,MP,S-S,ego,HV_front,37,29,53,45,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
101,mp2,waymo_train,waymo_0-299,142424,224;ego,38,51,224;ego,MP,S-S,equal,HV_front,32,4,66,38,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
102,mp2,waymo_train,waymo_0-299,145480,2507;ego,53,62,2507;ego,MP,S-S,ego,HV_front,44,1,67,24,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
103,mp2,waymo_train,waymo_0-299,145480,2499;2507;ego,34,52,2507;ego,MP,S-S,2507,HV_front,44,20,67,43,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
104,mp2,waymo_train,waymo_0-299,14654,169;ego,32,54,169;ego,MP,S-S,ego,HV_front,37,15,60,38,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
105,mp1,waymo_train,waymo_0-299,14655,2248;ego,7,24,2248;ego,MP,S-S,2248,AV_back,13,13,41,41,"ego在HV左侧车道, HV直行, ego在其左后方, 向右变道到HV所在车道."
106,mp1,waymo_train,waymo_0-299,14720,899;ego,16,38,899;ego,MP,S-S,899,AV_back,38,32,56,50,"ego在HV左侧车道, HV直行, ego在其左后方, 向右变道到HV所在车道."
107,mp2,waymo_train,waymo_0-299,14907,0;2;ego,27,39,2;ego,MP,S-S,2,HV_front,30,13,58,41,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
108,mp2,waymo_train,waymo_0-299,14942,3513;ego,26,45,3513;ego,MP,S-S,ego,HV_front,36,20,66,50,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
109,mp2,waymo_train,waymo_0-299,1516,1161;ego,51,57,1161;ego,MP,S-S,ego,HV_front,43,2,65,24,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
110,mp2,waymo_train,waymo_0-299,15227,1844;ego,19,50,1844;ego,MP,S-S,ego,HV_front,35,26,55,46,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
111,mp2,waymo_train,waymo_0-299,1527,139;ego,0,12,139;ego,MP,S-S,equal,HV_front,0,0,5,5,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
112,mp1,waymo_train,waymo_0-299,15503,1008;ego,19,41,1008;ego,MP,S-S,1008,AV_back,33,24,54,45,"ego在HV左侧车道, HV直行, ego在其左后方, 向右变道到HV所在车道."
113,mp2,waymo_train,waymo_0-299,15831,1687;ego,0,11,1687;ego,MP,S-S,ego,HV_front,0,0,15,15,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
114,mp2,waymo_train,waymo_0-299,15818,1416;ego,28,54,1416;ego,MP,S-S,ego,HV_front,43,25,54,36,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
115,mp2,waymo_train,waymo_0-299,15877,1198;1203;ego,37,63,1203;ego,MP,S-S,1203,HV_front,50,23,70,43,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
116,mp1,waymo_train,waymo_0-299,15953,1752;ego,39,46,1752;ego,MP,S-S,1752,AV_back,32,3,66,37,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
117,mp2,waymo_train,waymo_0-299,15911,922;ego,30,47,922;ego,MP,S-S,ego,HV_front,38,18,50,30,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
118,mp2,waymo_train,waymo_0-299,15976,1127;ego,2,27,1127;ego,MP,S-S,ego,HV_front,23,23,37,37,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
119,mp2,waymo_train,waymo_0-299,15976,1127;1128;ego,29,34,1127;ego,MP,S-S,1128,HV_front,23,4,37,18,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
120,mp2,waymo_train,waymo_0-299,15668,1345;ego,47,56,1345;ego,MP,S-S,ego,HV_front,42,5,60,23,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
121,mp2,waymo_train,waymo_0-299,16066,875;ego,22,40,875;ego,MP,S-S,ego,HV_front,16,4,30,18,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
122,mp2,waymo_train,waymo_0-299,16329,38;ego,0,11,38;ego,MP,S-S,ego,HV_front,0,0,17,17,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
123,mp2,waymo_train,waymo_0-299,16357,2478;ego,34,68,2478;ego,MP,S-S,ego,HV_front,55,31,79,55,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
124,mp2,waymo_train,waymo_0-299,16556,939;ego,0,22,939;ego,MP,S-S,ego,HV_front,14,14,25,25,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
125,mp2,waymo_train,waymo_0-299,16558,820;ego,27,60,820;ego,MP,S-S,ego,HV_front,48,31,61,44,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
126,mp2,waymo_train,waymo_0-299,16672,3074;ego,27,32,3074;ego,MP,S-S,ego,HV_front,17,0,51,34,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
127,mp2,waymo_train,waymo_0-299,16714,526;ego,14,46,526;ego,MP,S-S,equal,HV_front,33,29,48,44,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
128,mp2,waymo_train,waymo_0-299,16729,2103;ego,39,57,2103;ego,MP,S-S,ego,HV_front,41,12,70,41,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
129,cp1,waymo_train,waymo_0-299,16782,579;ego,8,15,579;ego,CP,L-S,ego,no-need,no-need,no-need,no-need,no-need,None
130,mp2,waymo_train,waymo_0-299,16959,4;ego,39,68,4;ego,MP,S-S,ego,HV_front,58,29,69,40,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
131,mp2,waymo_train,waymo_0-299,17120,1094;ego,19,31,1094;ego,MP,S-S,1094,HV_front,21,12,49,40,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
132,mp2,waymo_train,waymo_0-299,17173,776;ego,0,7,776;ego,MP,S-S,776,HV_front,0,0,26,26,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
133,mp2,waymo_train,waymo_0-299,17083,2855;ego,0,11,2855;ego,MP,S-S,ego,HV_front,0,0,22,22,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
134,mp1,waymo_train,waymo_0-299,17305,59;ego,20,48,59;ego,MP,S-S,59,AV_back,42,32,63,53,"ego在HV右侧车道, HV直行, ego在其右后方, 向左变道到HV所在车道."
135,mp2,waymo_train,waymo_0-299,17484,802;ego,9,13,802;ego,MP,S-S,ego,HV_front,0,0,16,16,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
136,mp2,waymo_train,waymo_0-299,17486,870;ego,21,25,870;ego,MP,S-S,ego,HV_front,13,2,27,16,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
137,mp2,waymo_train,waymo_0-299,17630,1686;ego,38,61,1686;ego,MP,S-S,ego,HV_front,45,17,72,44,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
138,mp2,waymo_train,waymo_0-299,17775,1659;ego,36,55,1659;ego,MP,S-S,ego,HV_front,44,18,58,32,"HV在ego左侧车道, ego直行, HV在其左前方, 向右变道到ego所在车道."
139,mp2,waymo_train,waymo_0-299,17742,302;305;ego,28,45,302;ego,MP,S-S,305,HV_front,38,20,59,41,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
140,mp2,waymo_train,waymo_0-299,17742,302;ego,46,58,302;ego,MP,S-S,ego,HV_front,38,2,59,23,"HV在ego右侧车道, ego直行, HV在其右前方, 向左变道到ego所在车道."
